claim_key,paperId,stance,confidence,stance_summary,evidence_strength,study_type,finding,direction,evaluated_at,evaluated_by,prompt_version,claim_text_used
baby_led_weaning,W1906182505,supports,70,Baby-led weaning associated with better satiety-responsiveness and healthier weight outcomes,moderate,cohort,Baby-led weaning linked to higher satiety-responsiveness and lower overweight risk,agrees,2026-09-02 04:57:42,qwen3:8b,current,Baby-led weaning supports healthy appetite self-regulation
baby_led_weaning,W2047491502,neutral,80,The paper found that specific nutrients can improve sow reproductive performance and fetal/neonatal growth and health.,strong,review,Functional amino acids and fatty acids improve sow reproductive performance and neonatal growth via metabolic and intestinal pathways,does not test it,2026-09-03 13:04:43,qwen3-8b-gpu,current,Baby-led weaning supports healthy appetite self-regulation
baby_led_weaning,W2073762294,neutral,80,Breastfeeding may support healthy appetite self-regulation by promoting slower growth and lower body fat levels,moderate,review,"Breastfeeding may enhance infant self-regulation of intake, reducing obesity risk via slower growth and lower body fat.",does not test it,2026-09-03 13:13:46,qwen3-8b-gpu,current,Baby-led weaning supports healthy appetite self-regulation
baby_led_weaning,W2112219381,neutral,30,Paper discusses BLW convenience and choking concerns but does not address appetite self-regulation.,limited,cross-sectional,Mothers saw BLW as convenient and healthy; professionals feared choking risks.,does not test it,2026-09-02 01:50:02,qwen3:8b,current,Baby-led weaning supports healthy appetite self-regulation
baby_led_weaning,W2114172520,neutral,90,The paper does not provide findings related to baby-led weaning and its impact on healthy appetite self-regulation.,limited,review,Review highlights feeding patterns and parental practices in obesity prevention but does not mention baby-led weaning or appetite self-regulation.,does not test it,2026-09-03 13:11:17,qwen3-8b-gpu,current,Baby-led weaning supports healthy appetite self-regulation
baby_led_weaning,W2128049466,neutral,80,"The study investigates if responsive feeding promotes healthy appetite self-regulation and reduces overeating risk, but also considers the potential for overeating if feeding is not responsive.",moderate,rct,"Responsive parenting intervention aimed to promote self-regulation and shared feeding responsibility, with outcomes focused on BMI and feeding behaviors.",does not test it,2026-09-03 13:31:40,qwen3-8b-gpu,current,Baby-led weaning supports healthy appetite self-regulation
baby_led_weaning,W2133091139,neutral,80,"Paper discusses potential impact of probiotics and prebiotics on appetite self-regulation, but not specifically related to baby-led weaning.",moderate,review,Discussed microbiota's role in satiety and mental health but not baby-led weaning or appetite regulation,does not test it,2026-09-03 13:42:26,qwen3-8b-gpu,current,Baby-led weaning supports healthy appetite self-regulation
baby_led_weaning,W2153368954,neutral,80,Breastfeeding duration may support healthy appetite self-regulation in infancy,moderate,cross-sectional,"Longer breastfeeding duration linked to greater maternal responsiveness to infant satiety cues in infancy, but not toddlers.",does not test it,2026-09-03 14:44:30,qwen3-8b-gpu,current,Baby-led weaning supports healthy appetite self-regulation
baby_led_weaning,W2179491754,neutral,30,Study planned to evaluate appetite self-regulation but no findings reported,moderate,rct,Study design aims to assess energy self-regulation but no results reported,does not test it,2026-09-02 05:26:01,qwen3:8b,current,Baby-led weaning supports healthy appetite self-regulation
baby_led_weaning,W2366088654,neutral,90,"The paper focuses on feeding practices and cultural variations in a multi-ethnic Asian cohort, not specifically on baby-led weaning and its impact on appetite self-regulation.",strong,cohort,"Most infants began self-feeding by 12 months, but no mention of appetite regulation or baby-led weaning methods.",does not test it,2026-09-03 16:22:37,qwen3-8b-gpu,current,Baby-led weaning supports healthy appetite self-regulation
baby_led_weaning,W2538274368,neutral,30,Paper addresses obesity prevention but does not evaluate baby-led weaning's impact on appetite regulation.,moderate,review,Abstract discusses childhood obesity prevention but does not mention baby-led weaning or appetite regulation.,does not test it,2026-09-02 03:43:40,qwen3:8b,current,Baby-led weaning supports healthy appetite self-regulation
baby_led_weaning,W2561977474,neutral,80,Paper supports the claim that baby-led weaning is encouraged to start at 4 months,moderate,review,Paper outlines CF guidelines but does not mention baby-led weaning or appetite self-regulation,does not test it,2026-09-03 12:11:49,qwen3-8b-gpu,current,Baby-led weaning supports healthy appetite self-regulation
baby_led_weaning,W2608722959,neutral,40,Limited evidence suggests baby-led weaning may promote healthy eating behaviour and weight gain trajectories,limited,review,"Limited evidence suggests baby-led weaning may encourage positive outcomes, but conclusions are weak due to data limitations.",does not test it,2026-09-03 13:36:27,qwen3-8b-gpu,current,Baby-led weaning supports healthy appetite self-regulation
baby_led_weaning,W2883251054,supports,80,"Mothers reported benefits like less overweight babies and less food demand, but also concerns about choking and messes.",moderate,review,"BLW babies were less demanding of food and less prone to overweight, but no direct measure of appetite self-regulation was reported",agrees,2026-09-03 09:55:56,qwen3-8b-gpu,current,Baby-led weaning supports healthy appetite self-regulation
baby_led_weaning,W2911666468,neutral,90,"Paper found lower HRQOL in ARFID patients compared to healthy and chronically ill controls, contradicting the claim that baby-led weaning supports healthy appetite self-regulation.",strong,cross-sectional,"ARFID patients had lower HRQOL in appetite and stomach scales compared to healthy controls, but no mention of feeding methods.",does not test it,2026-09-03 14:58:46,qwen3-8b-gpu,current,Baby-led weaning supports healthy appetite self-regulation
baby_led_weaning,W2935404439,neutral,80,"Paper found baby-led weaning group had higher sodium intake and lower iron intake compared to standard weaning group, but less free sugar.",moderate,cross-sectional,"BLCF group had higher sodium and fat intake, lower iron and free sugar, but no direct link to appetite regulation",does not test it,2026-09-03 15:49:06,qwen3-8b-gpu,current,Baby-led weaning supports healthy appetite self-regulation
baby_led_weaning,W2999416614,supports,80,"Baby-Led Weaning method showed benefits for satiety and complementary feeding, but also risks of choking and micronutrient deficiency.",moderate,review,Baby-led weaning linked to improved satiety and weight gain but no significant micronutrient differences,agrees,2026-09-03 09:32:51,qwen3-8b-gpu,current,Baby-led weaning supports healthy appetite self-regulation
baby_led_weaning,W3000425142,neutral,80,"The paper found that spoon-feeding and formula feeding together may lead to increased weight, contradicting the claim that baby-led weaning supports healthy appetite self-regulation.",moderate,cohort,"Self-fed infants showed no significant weight difference, but spoon-fed formula-fed infants had greater weight compared to spoon-fed breastfed infants.",does not test it,2026-09-03 10:14:31,qwen3-8b-gpu,current,Baby-led weaning supports healthy appetite self-regulation
baby_led_weaning,W3164658737,neutral,85,"Infant-led complementary feeding, specifically eating unaided and consuming family foods, linked to advanced child language.",moderate,cross-sectional,"Infant-led feeding (finger foods, family foods) linked to better language outcomes, not appetite self-regulation",does not test it,2026-09-03 16:19:08,qwen3-8b-gpu,current,Baby-led weaning supports healthy appetite self-regulation
