claim_key,topic,group,claim,tested_as,needs_tested_as,claim_type,draft_sign,sign_verb,draft_exposure,draft_outcome,age_range,cost_to_follow,if_wrong,stakes_rationale,stakes_uncertain,guidance_agreement,guidance_note,nhs_says,nhs_url,aap_says,aap_url,Tom input
peanut_intro_early,allergies,Peanut,Introducing peanut before 6 months of age reduces the risk of peanut allergy,,,association,-1,reduces,introducing peanut before 6 months,peanut allergy,4-6 months,mild,serious,"Regular peanut exposure takes deliberate effort; a missed prevention window can mean lifelong anaphylaxis-capable allergy, though many would rate that manageable.",YES,differ,"The AAP recommends peanut as early as 4 to 6 months for high-risk babies, while the NHS says around 6 months for all babies and does not recommend solids before then; both pages are current post-LEAP guidance, and neither says introducing peanut before 6 months benefits low-risk babies.","Introduce peanut from around 6 months, when you start solids. Delaying it past 6 to 12 months may raise your baby's chance of peanut allergy.",https://www.nhs.uk/baby/weaning-and-feeding/food-allergies-in-babies-and-young-children/,"Babies at high risk of peanut allergy (severe eczema or egg allergy) should try peanut foods as early as 4 to 6 months, after other solids.",https://www.healthychildren.org/English/healthy-living/nutrition/Pages/when-to-introduce-egg-peanut-butter-and-other-common-food-allergens-to-your-baby-food-allergy-prevention-tips.aspx,looks good
bed_sharing_risk,safe_sleep,Where baby sleeps,Bed-sharing increases the risk of sudden unexpected infant death,,,association,1,increases,bed-sharing,sudden unexpected infant death,0-12 months,mild,serious,Avoiding bed-sharing is easy with some babies and a nightly battle with contact-sleepers; the risk side is infant death.,YES,differ,"The AAP tells parents not to bed-share at all and to room-share on a separate surface, whereas the NHS accepts that some parents will bed-share and gives conditions for doing it more safely alongside a list of circumstances in which it is never safe.","A separate cot in your room is safest, but if you do share a bed, do it safely. Never co-sleep after alcohol, drugs, smoking, or if very tired.",https://www.nhs.uk/best-start-in-life/baby/baby-basics/newborn-and-baby-sleeping-advice-for-parents/safe-sleep-advice-for-babies/,Do not share a bed with your baby. Sleep in the same room but on separate surfaces; room-sharing without bed-sharing protects against SIDS.,https://www.healthychildren.org/English/ages-stages/baby/sleep/Pages/Preventing-SIDS.aspx,looks good
sleep_training_harm,settling,Sleep training,Behavioural sleep training causes lasting harm to infant attachment or stress regulation,,,association,1,causes,behavioural sleep training,harm to attachment or stress regulation,6-18 months,hard,serious,"Acting means living with prolonged night waking; if training truly damaged attachment that is lasting harm, but the severity is hotly contested.",YES,differ,"The AAP actively advises giving a baby time to resettle without rushing in, while the NHS warns that a baby left to 'cry it out' may still be distressed and urges responding to cries; neither page states a position on the claim's specific question of lasting harm to attachment or stress regulation.",Respond to your baby's cries. A baby left to cry it out may go quiet but can still be distressed when no one comes.,https://www.nhs.uk/start-for-life/baby/baby-basics/baby-myths-and-facts/,Put your baby down drowsy and give them a chance to resettle themselves rather than rushing in. Learning to self-soothe is a normal skill.,https://www.healthychildren.org/English/ages-stages/baby/sleep/Pages/getting-your-baby-to-sleep.aspx,looks good
sleep_consolidation_6m,sleep_patterns,How much sleep,Most infants sleep through the night by 6 months of age,,,threshold,0,(from registry),infant age (months),proportion sleeping through the night,0-12 months,free,trivial,"Descriptive rather than actionable; it is unclear what a parent does with it, so the stakes framing barely applies.",YES,agree,,"Some babies sleep long stretches at night by around 6 months, but many do not; it is not something to expect.",https://www.nhs.uk/best-start-in-life/baby/baby-basics/newborn-and-baby-sleeping-advice-for-parents/your-babys-sleep-patterns/,A good infant sleeper wakes often and resettles; long unbroken sleep at this age is not the healthy goal.,https://www.healthychildren.org/English/ages-stages/baby/sleep/Pages/Sleeping-Through-the-Night.aspx,its good 
blw_choking,solids,Method,Baby-led weaning increases the risk of choking,,,association,1,increases,baby-led weaning,choking,6-12 months,free,serious,"Choosing safer textures is free; a true choking risk is potentially fatal, but most reported events are harmless gagging.",YES,agree,,Self-feeding does not carry a higher choking risk than spoon-feeding.,https://www.nhs.uk/baby/weaning-and-feeding/babys-first-solid-foods/,Some studies suggest baby-led weaning does not raise choking risk compared with traditional feeding.,https://www.healthychildren.org/English/ages-stages/baby/feeding-nutrition/Pages/baby-led-weaning-is-it-safe.aspx,its good 
physical_activity_guideline,active_play,How much activity,Infants should have at least 30 minutes of tummy time or active play daily,Greater daily tummy time or active play in infancy is associated with better motor development,,association,1,associated with better,daily tummy time or active play,better motor development,0-12 months,mild,trivial,Thirty daily active minutes takes scheduling; below-target babies still mostly hit milestones on time.,,differ,"The NHS sets a floor of at least 30 minutes of tummy time a day across the first year, while the AAP frames it as gradually building up to 15 to 30 minutes a day by around 7 weeks, with more as the baby gets stronger.","Babies under 1 should get at least 30 minutes of tummy time a day, spread across the day while awake.",https://www.nhs.uk/live-well/exercise/physical-activity-guidelines-children-under-five-years/,"Start with 2 to 3 short sessions a day from birth and build up to 15 to 30 minutes a day by about 7 weeks, more as babies grow.",https://www.healthychildren.org/English/ages-stages/baby/sleep/Pages/back-to-sleep-tummy-to-play.aspx,
egg_cooked_safer,allergies,Egg,Eggs should be prepared well cooked to prevent illness until 12 months of age,Consumption of raw or lightly cooked egg before 12 months increases the risk of illness,,association,1,increases,raw or lightly cooked egg before 12 months,illness,4-12 months,free,meaningful,"Cooking egg thoroughly costs nothing; raw-egg first exposures risk reactions from hives to rare anaphylaxis, so severity is contested.",YES,one_only,,Eggs without the British Lion mark must be cooked solid for babies; Lion-marked hens' eggs may be raw or lightly cooked.,https://www.nhs.uk/baby/weaning-and-feeding/foods-to-avoid-giving-babies-and-young-children/,,,"This is a poorly phrased claim anyway, it should be that eggs should be prepared well cooked to prevent illness until 12 months old (or whatever age)"
hydrolysed_formula_allergy,allergies,Other allergens,Hydrolysed formula prevents allergic disease in high-risk infants,,,association,-1,prevents,hydrolysed formula,allergic disease in high-risk infants,0-6 months,hard,meaningful,"Hydrolysed formula costs several times standard formula for months; the averted harm is eczema and allergy, and affordability varies hugely.",YES,one_only,,,,"Hydrolysed formula does not prevent allergies, even in babies at high risk.",https://www.healthychildren.org/English/news/Pages/Early-Introduction-of-Peanut-based-Foods-to-Prevent-Allergies.aspx,its good 
peanut_intro_delay_risk,allergies,Peanut,Introducing peanut before 12 months reduces the risk of peanut allergy,,,association,-1,reduces,introducing peanut before 12 months,peanut allergy,12+ months,mild,serious,Introducing peanut by 12 months is cheap and simple; the harm side is the same lifelong anaphylaxis-capable allergy.,,agree,,Leaving peanut and egg out of your baby's diet past 6 to 12 months may make an allergy to them more likely.,https://www.nhs.uk/best-start-in-life/baby/weaning/safe-weaning/food-allergies/,"Holding peanut back does not protect against allergy; offer it once your baby is ready for solids, usually about 6 months.",https://www.healthychildren.org/English/healthy-living/nutrition/Pages/when-to-introduce-egg-peanut-butter-and-other-common-food-allergens-to-your-baby-food-allergy-prevention-tips.aspx,lets make it positive - introducing before 12 month reduces the risk of peanut allergy 
heavy_metals_rice,food_safety,Contaminants,Rice-based infant foods should be avoided because they contain inorganic arsenic and will lead to poor health,Rice-based infant foods lead to poor health,,association,1,(from registry),rice-based infant foods,poor health,0-24 months,mild,meaningful,Diversifying away from cheap rice staples is doable; chronic arsenic's neurodevelopmental effect is real but its size is contested.,YES,agree,,"Rice does absorb more arsenic than other grains, but UK limits mean babies can still eat rice; avoid rice drinks under 5.",https://www.nhs.uk/baby/weaning-and-feeding/foods-to-avoid-giving-babies-and-young-children/,"Rice absorbs more arsenic than other crops, so rice cereal should not be your baby's only or first cereal.",https://www.healthychildren.org/English/ages-stages/baby/feeding-nutrition/Pages/reduce-arsenic.aspx,its poorly phrased - Rice based infant foods should be avoided because they contain inorganic arsenic and will lead to poor health - association +1 poor health- sign verb is 'lead to' 
