n,claim_key,claim,tested_as,title,abstract,citations,YOUR_relevance,YOUR_stance,YOUR_stated_position,stated_position_evidence,YOUR_notes,labelled_by,--,model_stance,model_confidence,model_finding,model_direction,model_study_type,stratum,paperId
1,pacifier_sids,Pacifier use at sleep onset reduces the risk of SIDS,Pacifier use at sleep onset reduces the risk of SIDS,Bed-Sharing in the Absence of Hazardous Circumstances: Is There a Risk of Sudden Infant Death Syndrome? An Analysis from Two Case-Control Studies Conducted in the UK,"OBJECTIVE: The risk of sudden infant death syndrome (SIDS) among infants who co-sleep in the absence of hazardous circumstances is unclear and needs to be quantified. DESIGN: Combined individual-analysis of two population-based case-control studies of SIDS infants and controls comparable for age and time of last sleep. SETTING: Parents of 400 SIDS infants and 1386 controls provided information from five English health regions between 1993-6 (population: 17.7 million) and one of these regions between 2003-6 (population:4.9 million). RESULTS: Over a third of SIDS infants (36%) were found co-sleeping with an adult at the time of death compared to 15% of control infants after the reference sleep (multivariate OR = 3.9 [95% CI: 2.7-5.6]). The multivariable risk associated with co-sleeping on a sofa (OR = 18.3 [95% CI: 7.1-47.4]) or next to a parent who drank more than two units of alcohol (OR = 18.3 [95% CI: 7.7-43.5]) was very high and significant for infants of all ages. The risk associated with co-sleeping next to someone who smoked was significant for infants under 3 months old (OR = 8.9 [95% CI: 5.3-15.1]) but not for older infants (OR = 1.4 [95% CI: 0.7-2.8]). The multivariable risk associated with bed-sharing in the absence of these hazards was not significant overall (OR = 1.1 [95% CI: 0.6-2.0]), for infants less than 3 months old (OR = 1.6 [95% CI: 0.96-2.7]), and was in the direction of protection for older infants (OR = 0.1 [95% CI: 0.01-0.5]). Dummy use was associated with a lower risk of SIDS only among co-sleepers and prone sleeping was a higher risk only among infants sleeping alone. CONCLUSION: These findings support a public health strategy that underlines specific hazardous co-sleeping environments parents should avoid. Sofa-sharing is not a safe alternative to bed-sharing and bed-sharing should be avoided if parents consume alcohol, smoke or take drugs or if the infant is pre-term.",199,Direct,Supports,none,,,tom,,refutes,85,"Bed-sharing in the absence of hazardous circumstances may not significantly increase the risk of SIDS for older infants, but it does for infants under 3 months old when co-sleeping next to someone who smokes or on a sofa or next to a parent who drank more than two units of alcohol",disagrees,case-control,complement,W2096228542
2,back_to_sleep,Placing infants on their back to sleep reduces the risk of SIDS,Placing infants on their back to sleep reduces the risk of SIDS,A “Wear and Tear” Hypothesis to Explain Sudden Infant Death Syndrome,"Sudden Infant Death Syndrome (SIDS) is the leading cause of death in USA infants under one year of age accounting for approximately 2,700 deaths per year. Although formally SIDS dates back at least 2,000 years and was even mentioned in the Hebrew Bible (Kings 3:19) its etiology remains unexplained prompting the CDC to initiate a sudden unexpected infant death case registry in 2010. Due to their total dependence, the ability of the infant to allostatically regulate stressors and stress responses shaped by genetic and environmental factors is severely constrained. We propose that SIDS is the result of cumulative painful, stressful, or traumatic exposures that begin in utero and tax neonatal regulatory systems incompatible with allostasis. We also identify several putative biochemical mechanisms involved in SIDS. We argue that the important characteristics of SIDS, namely male predominance (60:40), the significantly different SIDS rate in USA Hispanics (80% lower) compared to whites, 50% of cases occurring between 7.6 and 17.6 weeks after birth with only 10% after 24.7 weeks, and seasonal variation with most cases occurring during winter, are all associated with common environmental stressors, such as neonatal circumcision and seasonal illnesses. We predict that neonatal circumcision is associated with hypersensitive to pain and decreased heart rate variability which increase the risk for SIDS. We also predict that neonatal male circumcision will account for the SIDS gender bias and that cultures that practice high male circumcision rates, like USA whites, will have higher SIDS rates compared to cultures with lower circumcision rates. SIDS rates will also be higher in USA states where Medicaid covers circumcision and lower among cultures that do not practice neonatal circumcision and/or cannot afford to pay for circumcision. We last predict that winter-born premature infants who are circumcised will be at higher risk of SIDS compared to infants who experience fewer nociceptive exposures. All these predictions are testable experimentally using animal models or cohort studies in humans. Our hypothesis provides new insights into novel risk factors for SIDS that can reduce its risk by modifying current infant care practices to reduce nociceptive exposures.",13,Framework,Does not test,none,,,tom,,refutes,80,The paper proposes a hypothesis that neonatal circumcision may increase the risk for Sudden Infant Death Syndrome (SIDS),disagrees,review,complement,W2540408804
3,reading_language,Reading aloud to infants improves later language development,Reading aloud to infants improves later language development,Cross-language distance influences receptive vocabulary outcomes of bilingual children,"Various studies have shown that bilingual children score lower than their monolingual peers on standardized receptive vocabulary tests. This study investigates if this effect is moderated by language distance. Dutch receptive vocabulary was tested with the Peabody Picture Vocabulary Test (PPVT). The impact of cross-language distance was examined by comparing bilingual groups with a small (Close; n = 165) and a large between-language distance (Distant; n = 108) with monolingual controls ( n = 39). As a group, the bilinguals scored lower on Dutch receptive vocabulary than the monolinguals. The bilingual Distant group had lower receptive vocabulary outcomes than the bilingual Close and monolingual groups. No difference emerged between the monolinguals and the bilingual Close group. It can be concluded that bilingual children whose languages provide ample opportunities for transfer and sharing knowledge do not have any receptive vocabulary delays. The findings underscore that bilingual children cannot be treated as a homogeneous group and are important for determining which bilingual children are at risk of low vocabulary outcomes.",47,Background,Does not test,none,,,tom,,refutes,90,Bilingual children with large language distance scored lower on receptive vocabulary tests compared to monolinguals and bilingual children with small language distance,disagrees,cohort,refutes,W2997253988
4,room_sharing,Room-sharing without bed-sharing reduces the risk of SIDS,Room-sharing without bed-sharing reduces the risk of SIDS,Beyond the rules: an integrative review of parental perspectives on safer infant sleep in shared environments,"Background: Despite public health campaigns promoting infant sleep safety, SUDI (including SIDS and fatal sleep accidents) remains one of the most significant contributors to post-neonatal infant death in many high-income countries. Bedsharing remains common despite predominant risk elimination guidelines, with many families struggling to follow rigid rules of avoidance. Risk minimisation considers the complexities of family life and recognises most infant deaths in shared sleep environments are associated with additional risk factors. Purpose and methods: Integrative review methodology was used to investigate the information parents need to minimise risk for infants under 12 months who share a sleep surface. Database searches included Scopus, CINAHL, PubMed, PsycNET and Emcare to identify peer-reviewed publications published January 2013-March 2025. Quality appraisal was undertaken using the QuADs tool. Results: A total of 60 articles met eligibility criteria. Twelve themes were generated from the data and grouped under four key domains: 1. Challenges in creating safer shared sleep environments, 2. Solutions/strategies used by parents to address challenges, 3. Family experiences when risk factors are present, and 4. Information needs of parents and caregivers. Families reported sharing sleep with infants, intentionally and accidentally, including those at a higher risk of SUDI. Bedsharing often occurs outside of a conscious parental 'choice', while families frequently refrain from disclosing bedsharing practices to health professionals. In the absence of formal guidance on safer shared sleep strategies, families generated their own solutions potentially increasing risk. Conclusion: Parents need universal access to non-judgmental, neutrally-worded support that allows them to 'prepare to share' and employ strategies to enhance infant sleep safety wherever, and whenever it occurs.",1,Background,Does not test,none,,,tom,,mixed,80,"Parents reported sharing sleep with infants, including those at a higher risk of SUDI. Bedsharing often occurs outside of a conscious parental 'choice'.",both,review,complement,W4414190774
5,overheating_sids,Overheating during sleep increases the risk of SIDS,Overheating during sleep increases the risk of SIDS,100 Unintended consequences of policies to improve the energy efficiency of the UK housing stock,"As a major sector contributing to the UK’s greenhouse gas (GHG) emissions, housing is an important focus of government policies to mitigate climate change. Current policy promotes the application of a variety of energy efficiency measures to a diverse building stock, which will likely lead to a wide range of unintended consequences. We have undertaken a scoping review identifying more than 100 unintended consequences impacting building fabric, population health and the environment, thus highlighting the urgent need for government and society to reconsider its approach. Many impacts are connected in complex relationships. Some are negative, others possibly co-benefits for other objectives. While there are likely to be unavoidable trade-offs between different domains affected and the emissions reduction policy, a more integrated approach to decision making could ensure co-benefits are optimised, negative impacts reduced and trade-offs are dealt with explicitly. Integrative methods can capture this complexity and support a dynamic understanding of the effects of policies over time, bringing together different kinds of knowledge in an improved decision-making process. We suggest that participatory systems dynamics with multi/inter-disciplinary stakeholders is likely to offer a useful route forward, supporting cross-sectorial policy optimisation that places reducing housing GHG emissions alongside other housing policy goals.",147,Not relevant ,Does not test,none,,Not relevant,tom,,neutral,100,The paper does not discuss the risk of SIDS due to overheating during sleep,does not test it,review,neutral,W2105687506
6,screen_sleep,Higher screen time is associated with shorter sleep in young children,Higher screen time is associated with shorter sleep in young children,"Sleep duration in Chinese adolescents: biological, environmental, and behavioral predictors","OBJECTIVE: To examine sleep duration-related risk factors from multidimensional domains among Chinese adolescents. METHODS: A random sample of 4801 adolescents aged 11-20 years participated in a cross-sectional survey. A self-reported questionnaire was used to collect information about the adolescents' sleep behaviors and possible related factors from eight domains. RESULTS: In all, 51.0% and 9.8% of adolescents did not achieve optimal sleep duration (defined as <8.0 h per day) on weekdays and on weekends, respectively. According to multivariate logistic regression models, after adjusting for all possible confounders, 17 factors were associated with sleep duration <8 h. Specifically, 13 factors from five domains were linked to physical and psychosocial condition, environment, and behaviors. These factors were overweight/obesity, chronic pain, bedtime anxiety/excitement/depression, bed/room sharing, school starting time earlier than 07:00, cram school learning, more time spent on homework on weekdays, television viewing ≥ 2 h/day, physical activity <1 h/day, irregular bedtime, and shorter sleep duration of father. CONCLUSION: Biological and psychosocial conditions, sleep environments, school schedules, daily activity and behaviors, and parents' sleep habits significantly may affect adolescents' sleep duration, indicating that the existing chronic sleep loss in adolescents could be, at least partly, intervened by improving adolescents' physical and psychosocial conditions, controlling visual screen exposure, regulating school schedules, improving sleep hygiene and daytime behaviors, and changing parents' sleep habits.",147,Indirect,Supports,none,,,tom,,supports,80,Several factors including screen time were associated with shorter sleep duration in adolescents,agrees,cross-sectional,supports,W1969730988
8,educational_apps,Educational apps improve learning outcomes in toddlers,Educational apps improve learning outcomes in toddlers,Cognitive control in infancy: Attentional predictors using a tablet‐based measure,"Cognitive control is a predictor of later-life outcomes and may underpin higher order executive processes. The present study examines the development of early cognitive control during the first 24-month. We evaluated a tablet-based assessment of cognitive control among infants aged 18- and 24-month. We also examined concurrent and longitudinal associations between attentional disengagement, general cognitive skills and cognitive control. Participants (N = 60, 30 female) completed the tablet-task at 18- and 24-month of age. Attentional disengagement and general cognitive development were assessed at 5-, 8-, 12-, 18- and 24-month using an eye-tracking measure and the Mullen Scales of Early Learning (MSEL), respectively. The cognitive control task demonstrated good internal consistency, sensitivity to age-related change in performance and stable individual differences. No associations were found between infant cognitive control and MSEL scores longitudinally or concurrently. The eye-tracking task revealed that slower attentional disengagement at 8-month, but faster disengagement at 18-month, predicted higher cognitive control scores at 24-month. This task may represent a useful tool for measuring emergent cognitive control. The multifaceted relationship between attention and infant cognitive control suggests that the rapid development of the attentional system in infancy results in distinct attentional skills, at different ages, being relevant for cognitive control development.",1,Framework,Does not test,none,,,tom,,refutes,90,No association found between infant cognitive control and general cognitive development,disagrees,cross-sectional,refutes,W4398133642
9,breastfeeding_6m,Exclusive breastfeeding for the first 6 months gives the best health outcomes,Exclusive breastfeeding for the first 6 months gives the best health outcomes,"Trends and factors associated to early initiation of breastfeeding, exclusive breastfeeding and duration of breastfeeding in Ethiopia: evidence from the Ethiopia Demographic and Health Survey 2016","BACKGROUND: Initiation of breastfeeding immediately after birth, exclusive breastfeeding, and continuous breastfeeding for at least 2 years lower the risk of newborn deaths. This study was conducted to examine the trends and factors associated with early initiation of breastfeeding, exclusive breastfeeding and duration of breastfeeding in Ethiopia. METHODS: Data for this study were extracted from the Ethiopian Demographic and Health Survey 2016. A total of 5122 children were included in the analysis. Multivariate logistic regression analysis, and Cox proportional hazards model were fitted to find the factors associated with breastfeeding practices. Reported p - values < 0.05 or a 95% Confidence Interval of Odds Ratio/Hazard Ratio excluding one was considered as significant association with early initiation of breastfeeding, exclusive breastfeeding, duration of breastfeeding and independent variables. RESULTS: About 81.8% of the children initiated breastfeeding within 1 h of birth and during the day before an interview, 47% were exclusively breastfed during the first 6 months. The median duration of breastfeeding was 22 months (22 ± 0.50 months 95% Confidence Interval [CI] 21.01-22.99). Rural residents (Odds Ratio [OR] 0.71, 95% CI 0.51, 0.99), mothers with no antenatal follow up (OR 0.75, 95% CI 0.57, 0.99), caesarean birth (OR 0.80, 95% CI 0.66, 0.96) and home delivery were associated with low initiation of breastfeeding within 1 h of birth. Mothers with no/primary education (OR 0.62, 95% CI 0.40, 0.96), no baby postnatal checkup (OR 0.53, 95% CI 0.39, 0.73), average/larger size of a child at birth (OR 0.80, 95% CI 0.65, 0.99) and deliveries outside of health centers were significantly associated with non-exclusive breastfeeding at the time of the interview. Further, mothers living in Amhara (Hazard Ratio [HR] 1.31, 95% CI 1.05, 1.64), Oromia (HR 1.27, 95% CI 1.04, 1.54), and Benishangul-Gumuz (HR 1.34, 95% CI 1.09, 1.65) regions had a longer duration of breastfeeding while Muslims, employed mothers, multiple births and poor economic level of households were associated with shorter durations of breastfeeding. CONCLUSIONS: Rural residence, female sex, home delivery, caesarean birth, small birthweight baby and large family size were associated with late initiation of breastfeeding. Living in Affar, Somali, and Harari, primary education level of mothers, giving birth outside of health facilities, no antenatal care follow up, and no postnatal check-up were associated with non-exclusive breastfeeding, while younger age mothers, Muslims, giving birth outside of health facilities, and employed mothers were associated with shorter time to cessation of breastfeeding. Providing health education and counseling for mothers during and after pregnancy should be encouraged.",152,Background,Does not test,endorses,"Initiation of breastfeeding immediately after birth, exclusive breastfeeding, and continuous breastfeeding for at least 2 years lower the risk of newborn deaths.",This paper already assumes the claim is true,tom,,refutes,80,Exclusive breastfeeding for the first 6 months was practiced by 47% of children in Ethiopia,disagrees,cross-sectional,refutes,W3004912538
10,music_exposure,Musical activity in infancy supports language and auditory development,Musical activity in infancy supports language and auditory development,A Survey of Neonatal Nurses Perspectives on Voice Use and Auditory Needs with Premature Infants in the NICU,"BACKGROUND: Exposure to the voice and language during the critical period of auditory development associated with the third trimester is thought to be an essential building block for language. Differences in the auditory experience associated with early life in the NICU may increase the risk of language delays for premature infants. NICU nurses are fundamental in the care of premature infants; how they use their voices may be important in understanding auditory experiences in the NICU. This study examined voice use behaviors of NICU nurses in the United States and their current knowledge of early auditory development. METHOD: An opt-in, online questionnaire. RESULTS: Nurses reported using their voice more as the age of infants approached term gestation and speaking to infants was the most common type of voice use. Both infant and nurse factors influenced reported voice use decisions in the NICU. Nurses did not believe the NICU auditory environment to be sufficient to meet early auditory needs of premature infants but did believe that premature infants are exposed to adequate voice sounds. CONCLUSIONS: A gap in knowledge regarding the importance of early exposure to voice sounds may be a barrier to nurses using their voices to support early auditory development.",6,Background,Supports,none,,It is more about voice than music but it loosely supports the idea ,tom,,mixed,80,"Nurses believe that premature infants are exposed to adequate voice sounds, but the auditory environment in the NICU may not be sufficient to meet early auditory needs",both,cross-sectional,mixed,W3189004388
11,upf_infant,Ultra-processed foods in infancy are associated with poorer diet quality,Ultra-processed foods in infancy are associated with poorer diet quality,Degree of processing and nutritional value of children’s food products,"OBJECTIVE: This study aimed to characterise the availability, the nutritional composition and the processing degree of industrial foods for 0-36-month-old children according to the neighbourhoods affluence. DESIGN: A cross-sectional exploratory study. SETTING: All food products available in retail stores for children aged 0-36 months were analysed. Data collection took place in two neighbourhoods, comparing two different sociodemographic districts (high v. low per capita income), Campanhã and Foz do Douro in Porto, Portugal. PARTICIPANTS: A total of 431 commercially processed food products for children aged 0-36 months which are sold in 23 retail stores were identified. Food products were classified according to their processing degree using the NOVA Food Classification System. RESULTS: For NOVA analysis, of the 244 food products that were included 82 (33·6 %) were minimally processed, 25 (10·2 %) processed and 137 (56·1 %) ultra processed. No food product was classified as a culinary ingredient. The products included mostly cereals, yogurts, prevailed in high-income neighbourhoods for the 0-6-month-old group. It was observed that some categories of ultra-processed food (UPF) presented higher amounts of energy, sugars, saturated fat and salt than unprocessed/minimally processed products. CONCLUSIONS: The high availability of UPF offered for 0-36-month-old children should be considered when designing interventions to promote a healthy diet in infancy.",11,Framework,Supports,endorses,The high availability of UPF offered for 0-36-month-old children should be considered when designing interventions to promote a healthy diet in infancy.,,tom,,supports,100,High availability of ultra-processed foods offered for 0-36-month-old children,agrees,cross-sectional,supports,W3197673250
