paperId,finding_no,YOUR_VERDICT,YOUR_NOTES,title,study_type,sample_size,population,citations,age_min_months,age_max_months,age_basis,age_quote,age_quote_check,funding,assumptions,n_findings,extractor_notes,exposure,comparator,outcome,outcome_desirable,effect,effect_size,effect_size_check,finding,abstract
W1992978843,1,,,Review finds that bed sharing increases risk of sudden infant death syndrome,commentary,not stated,infants (commentary on bed-sharing meta-analysis),2,,,unknown,,,not stated,SIDS remains the leading cause of infant mortality in USA and most developed countries | prone sleep position was identified as a main risk for SIDS and back-sleeping campaigns significantly reduced SIDS,0,"Commentary on Vennemann et al. 2012 bed-sharing meta-analysis; abstract is truncated and reports no results of its own, though the title relays that the reviewed meta-analysis found bed sharing increases SIDS risk.",,,,,,,,,"Commentary on: Vennemann MM, Hense HW, Bajanowski T, et al. Bed sharing and the risk of sudden infant death syndrome: can we resolve the debate? J Pediatr 2012;160:44–8.e2.[OpenUrl][1][CrossRef][2][PubMed][3][Web of Science][4] Sudden infant death syndrome (SIDS) remains the leading cause of infant mortality in USA and most developed countries. After studies in the late 1980s and early 1990s which identified the prone sleep position as a main risk for SIDS, campaigns to promote back sleeping were initiated, and the number of SIDS declined significantly.1 However, … [1]: {openurl}?query=rft.jtitle%253DThe%2BJournal%2Bof%2Bpediatrics%26rft.stitle%253DJ%2BPediatr%26rft.aulast%253DVennemann%26rft.auinit1%253DM.%2BM.%26rft.volume%253D160%26rft.issue%253D1%26rft.spage%253D44%26rft.epage%253D8.e2%26rft.atitle%253DBed%2Bsharing%2Band%2Bthe%2Brisk%2Bof%2Bsudden%2Binfant%2Bdeath%2Bsyndrome%253A%2Bcan%2Bwe%2Bresolve%2Bthe%2Bdebate%253F%26rft_id%253Dinfo%253Adoi%252F10.1016%252Fj.jpeds.2011.06.052%26rft_id%253Dinfo%253Apmid%252F21868032%26rft.genre%253Darticle%26rft_val_fmt%253Dinfo%253Aofi%252Ffmt%253Akev%253Amtx%253Ajournal%26ctx_ver%253DZ39.88-2004%26url_ver%253DZ39.88-2004%26url_ctx_fmt%253Dinfo%253Aofi%252Ffmt%253Akev%253Amtx%253Actx [2]: /lookup/external-ref?access_num=10.1016/j.jpeds.2011.06.052&link_type=DOI [3]: /lookup/external-ref?access_num=21868032&link_type=MED&atom=%2Febnurs%2F15%2F4%2F115.atom [4]: /lookup/external-ref?access_num=000298143000014&link_type=ISI"
W2122536908,1,,,"Learning, neural plasticity and sensitive periods: implications for language acquisition, music training and transfer across the lifespan",review,not stated,language learners and musicians across the lifespan,162,,,unknown,,,not stated,the brain retains an ability for experience-dependent plasticity across the lifespan | sensitive periods have often been proposed to explain age-related differences in attaining second languages and musical expertise,0,Narrative review of mechanisms; discusses potential bi-directional music-language transfer but reports no quantitative results.,,,,,,,,,"Sensitive periods in human development have often been proposed to explain age-related differences in the attainment of a number of skills, such as a second language (L2) and musical expertise. It is difficult to reconcile the negative consequence this traditional view entails for learning after a sensitive period with our current understanding of the brain's ability for experience-dependent plasticity across the lifespan. What is needed is a better understanding of the mechanisms underlying auditory learning and plasticity at different points in development. Drawing on research in language development and music training, this review examines not only what we learn and when we learn it, but also how learning occurs at different ages. First, we discuss differences in the mechanism of learning and plasticity during and after a sensitive period by examining how language exposure versus training forms language-specific phonetic representations in infants and adult L2 learners, respectively. Second, we examine the impact of musical training that begins at different ages on behavioral and neural indices of auditory and motor processing as well as sensorimotor integration. Third, we examine the extent to which childhood training in one auditory domain can enhance processing in another domain via the transfer of learning between shared neuro-cognitive systems. Specifically, we review evidence for a potential bi-directional transfer of skills between music and language by examining how speaking a tonal language may enhance music processing and, conversely, how early music training can enhance language processing. We conclude with a discussion of the role of attention in auditory learning for learning during and after sensitive periods and outline avenues of future research."
W2137657450,1,,,Critical diaphragm failure in sudden infant death syndrome,other,not stated,infants aged 1-12 months (hypothesis paper),37,1,12,stated,infants between the ages of 1 and 12 months,ok,not stated,"SIDS is the leading cause of death in infants between 1 and 12 months in developed countries | undeveloped respiratory muscles, non-lethal infections, prone resting position and REM sleep are risk factors in young infants | even relatively minor infections can acutely reduce diaphragm force generation capacity",0,Hypothesis paper (critical diaphragm failure); no empirical results.,,,,,,,,,"Sudden infant death syndrome (SIDS) is the leading cause of death in infants between the ages of 1 and 12 months in developed countries. SIDS is by definition a diagnosis of exclusion, and its mechanism of action is unknown. The SIDS-Critical Diaphragm Failure (CDF) hypothesis postulates that the cause of death in SIDS is respiratory failure caused by CDF. Four principal risk factors contribute to CDF in young infants: undeveloped respiratory muscles, non-lethal infections, prone resting position, and REM sleep. Even relatively minor infections can cause an acute and significant reduction in diaphragm force generation capacity that in conjunction with other risk factors can precipitate CDF. CDF-induced acute muscle weakness leaves few, if any pathological marks on the affected tissue.Understanding the underlying mechanism of SIDS may help in formulating new approaches to child care that can help to further reduce the incidence of SIDS."
W2139306504,1,,,Food Allergy: Recent Advances in Pathophysiology and Treatment,review,not stated,children and adults with food allergy,74,,,unknown,,,not stated,"food allergies affect up to 6% of children and 3-4% of adults | the mainstay of treatment for food allergies is avoidance and ready access to emergency medications | route of exposure, genetics, age of the host, and allergen factors influence the development of oral tolerance",0,Narrative review of pathophysiology and emerging therapies; no results of its own in abstract.,,,,,,,,,"Food allergies are adverse immune reactions to food proteins that affect up to 6% of children and 3-4% of adults. A wide range of symptoms can occur depending on whether IgE or non-IgE mediated mechanism are involved. Many factors influence the development of oral tolerance, including route of exposure, genetics, age of the host, and allergen factors. Advances have been made in the understanding of how these factors interact in the pathophysiology of food allergy. Currently, the mainstay of treatment for food allergies is avoidance and ready access to emergency medications. However, with the improved understanding of tolerance and advances in characterization of food allergens, several therapeutic strategies have been developed and are currently being investigated as potential treatments and/or cures for food allergy."
W2141009564,1,,,Sleep well—be well study: improving school transition by improving child sleep: a translational randomised trial,rct,334,"Grade Prep children with sleep problems, Melbourne, Australia",18,60,72,inferred,the first year of formal education (Grade Prep),ok,not stated,the transition to primary school appears crucial for a child's future academic and psychological well-being | a previous efficacy trial showed sleep problems can be identified and improved via school-based screening plus brief behavioural intervention,0,"Trial protocol only - planned sample of 334, no results reported; ages inferred from first year of school in Australia (about 5-6 years).",,,,,,,,,"INTRODUCTION: The transition to primary school appears crucial for a child's future academic and psychological well-being. Addressing conditions which negatively affect children during this period, such as poor sleep, may improve these outcomes. Sleep problems are common and in a previous efficacy randomised controlled trial, we demonstrated that sleep problems can be identified and improved using school-based screening followed by a brief behavioural intervention. This trial will determine whether the same intervention is beneficial and cost-effective when delivered by an existing school-based health workforce. METHODS/DESIGN: We will recruit 334 children with sleep problems from approximately 40 schools after screening for behavioural sleep problems in the first year of formal education (Grade Prep). Schools in Melbourne, Australia will be invited to participate from a randomly ordered list of eligible schools and we will approach all caregivers of Grade Prep children. Children who have a parent-reported moderate or severe sleep problem will be randomised into either 'usual care' or 'intervention' groups. Trained nurses from the Primary School Nursing programme will deliver the sleep intervention programme. INTERVENTION: Two to three contacts between the nurse and the parent; initial 45 min face-to-face meeting or phone call, 15 min phone call 2 weeks later and an optional second 30 min face-to-face meeting. FOLLOW-UP: 6 and 12 months postrandomisation using parent and teacher surveys and child face-to-face assessments. PRIMARY OUTCOME: child psychosocial functioning at 6 months. SECONDARY OUTCOMES: child psychosocial functioning at 12 months and child sleep, behaviour, working memory, academic achievement and parent mental health at 6 and 12 months. Cost-effectiveness analysis will compare incremental costs to difference in child psychosocial functioning at 6 months. REGISTRATION: International Standard Randomised Controlled Trial Number Register (ISRCTN92448857)."
W2184522557,1,,,Viewpoint: Early childhood caries: a New Zealand perspective,commentary,not stated,"preschool children, New Zealand",7,24,60,inferred,preschool-aged children,ok,not stated,dental caries is primarily preventable yet remains the most common chronic disease of childhood in New Zealand | Maori and Pacific children have greater experience and severity of dental caries | early childhood caries has deleterious effects on a child's oral and general health | early identification of high-risk children by primary health care providers enables timely referral and management,0,Viewpoint article; positions captured as assumptions.,,,,,,,,,"Dental caries, primarily a preventable disease, remains the most common chronic disease of childhood and one of the most common reasons for hospital admissions for children in New Zealand. The most vulnerable children are shouldering the burden of the disease, with Maori and Pacific children having greater experience and severity of dental caries. Early childhood caries has deleterious effects on a child’s oral and general health and significant numbers of preschool-aged children experience pain and infection. Early identification by primary health care providers of children at high risk of developing early childhood caries can ensure these children are referred to the appropriate oral health services to receive appropriate and timely management. KEYWORDS: Dental care for children; dental caries; New Zealand; preschool child"
W2540408804,1,,,A “Wear and Tear” Hypothesis to Explain Sudden Infant Death Syndrome,other,not stated,USA infants under one year (hypothesis paper),13,,,unknown,,,not stated,"SIDS is the leading cause of death in USA infants under one year of age, about 2,700 deaths per year | SIDS shows male predominance (60:40) | SIDS rate in USA Hispanics is 80% lower compared to whites | 50% of SIDS cases occur between 7.6 and 17.6 weeks after birth with only 10% after 24.7 weeks | SIDS shows seasonal variation with most cases occurring during winter",0,"Hypothesis paper proposing cumulative stress including neonatal circumcision as SIDS risk; predictions are untested, so no findings extracted.",,,,,,,,,"Sudden Infant Death Syndrome (SIDS) is the leading cause of death in USA infants under one year of age accounting for approximately 2,700 deaths per year. Although formally SIDS dates back at least 2,000 years and was even mentioned in the Hebrew Bible (Kings 3:19) its etiology remains unexplained prompting the CDC to initiate a sudden unexpected infant death case registry in 2010. Due to their total dependence, the ability of the infant to allostatically regulate stressors and stress responses shaped by genetic and environmental factors is severely constrained. We propose that SIDS is the result of cumulative painful, stressful, or traumatic exposures that begin in utero and tax neonatal regulatory systems incompatible with allostasis. We also identify several putative biochemical mechanisms involved in SIDS. We argue that the important characteristics of SIDS, namely male predominance (60:40), the significantly different SIDS rate in USA Hispanics (80% lower) compared to whites, 50% of cases occurring between 7.6 and 17.6 weeks after birth with only 10% after 24.7 weeks, and seasonal variation with most cases occurring during winter, are all associated with common environmental stressors, such as neonatal circumcision and seasonal illnesses. We predict that neonatal circumcision is associated with hypersensitive to pain and decreased heart rate variability which increase the risk for SIDS. We also predict that neonatal male circumcision will account for the SIDS gender bias and that cultures that practice high male circumcision rates, like USA whites, will have higher SIDS rates compared to cultures with lower circumcision rates. SIDS rates will also be higher in USA states where Medicaid covers circumcision and lower among cultures that do not practice neonatal circumcision and/or cannot afford to pay for circumcision. We last predict that winter-born premature infants who are circumcised will be at higher risk of SIDS compared to infants who experience fewer nociceptive exposures. All these predictions are testable experimentally using animal models or cohort studies in humans. Our hypothesis provides new insights into novel risk factors for SIDS that can reduce its risk by modifying current infant care practices to reduce nociceptive exposures."
W2887924454,1,,,Implementing primary prevention of food allergy in infants: New BSACI guidance published,guideline,not stated,UK infants at higher risk of food allergy,67,4,4,stated,start complementary foods from 4 months,ok,not stated,"a delay in introducing allergenic foods may increase the risk of an infant developing food allergy | evidence from the EAT, LEAP and other studies supports early introduction of allergenic foods | to date, no life-threatening reactions have been reported in infants related to the introduction of allergenic foods | higher-risk infants may start complementary foods from 4 months, introducing egg then peanut in an age-appropriate form | mothers should continue to breastfeed whilst introducing solid foods, if possible | if breastmilk is unavailable, a standard cow's milk formula should be used rather than a hypoallergenic formula, unless the baby is allergic to cow's milk | screening before introducing egg or peanut is not routinely recommended in the UK given limited access to testing",0,Editorial describing new BSACI/FASG guidance; positions captured as assumptions; extensive author conflict-of-interest declarations but no study funding stated.,,,,,,,,,"The BSACI this month published guidance for UK Healthcare professionals on preventing food allergy in higher risk infants, including advice on the earlier introduction of potential allergenic foods into the infant diet, to reduce the risk of food allergy.1 There is an accompanying information sheet for parents with practical advice on introducing allergenic foods during complementary feeding.1 The guidance has been developed by the Paediatric Allergy Group of BSACI and the Food Allergy Specialist Group (FASG) of the British Dietetic Association (BDA), following consultation with both the BSACI and the BDA membership, a broad range of healthcare professionals including health visitors and general practitioners, parents and patient support groups. The guidance is designed to complement the recent review of scientific evidence published by a joint committee of the UK's Scientific Advisory Committee on Nutrition (SACN) and the Committee on Toxicity of Chemicals in Food, Consumer Products and the Environment (COT).2 The SACN/COT statement recommended the following: The SACN/COT statement acknowledged that recommendations for healthcare professionals may need to take into account different clinical scenarios, and that targeted advice may be appropriate for infants at a higher risk of developing food allergy. They proposed that families of infants with a history of early-onset eczema or suspected food allergy may wish to seek medical advice before introducing peanut or hen's egg. The BSACI/FASG guidance provides advice relating to this group of children and is summarized in Figure 1. It differs from equivalent current international guidelines, in that: The BSACI/FASG guidance suggests that if a baby is at higher risk of developing food allergy, parents may wish to start complementary foods from 4 months, including egg (if part of the family's diet) and then peanut in an age-appropriate manner to avoid risk of choking. Mothers should continue to breastfeed whilst introducing solid foods, if possible. If breastmilk is not available, families should use a standard cow's milk formula rather than a “low allergy” (hypoallergenic) formula, unless the baby is allergic to cow's milk. Unlike the NIAID guidelines for peanut introduction, screening is not routinely recommended prior to introducing egg or peanut in higher risk infants, as despite its potential role in identifying sensitization, access in the UK primary care setting is difficult and would require prompt in-hospital food challenge where present. Healthcare professionals should help parents to make an informed decision in this regard. This will depend on their understanding of the potential for an allergic reaction when allergenic foods are introduced into the diet and the availability of allergy testing within the local clinical service. However, this must be balanced against the risk that a delay in introduction may increase the risk of their infant developing a food allergy. This is a pragmatic decision, based not only on the current availability of allergy testing (and, where indicated, prompt referral for supervised food challenge) in this age group, but also on the basis that to date, no life-threatening reactions have been reported in infants related to the introduction of allergenic foods. Of note, screening is not generally offered in those countries where peanut is introduced in infancy, and this has not caused major public health concerns. However, some infants will already be allergic to these foods when introduced into the diet (Figure 2). It is for this reason that information regarding allergic symptoms and their management figure prominently in both guidance to healthcare professionals and that for parent/carers. The BSACI/FASG document is guidance rather than a guideline. This was intentional: guidelines are public health recommendations applicable across the population, and “need to be made on the basis of high-level evidence and more than one randomized clinical trial to ensure ‘no harm’ results.”5 In contrast, the BSACI/FASG guidance is designed to provide useful background and practical advice to healthcare professionals and parent/carers alike in implementing the available evidence from the EAT, LEAP and other studies to support individualized care. The new guidance is available to download at http://www.bsaci.org/about/early-feeding-guidance. PJT has received consultancy fees from the UK Departments of Health with respect to primary prevention strategies for food allergy; research funding from the UK Medical Research Council (reference MR/K010468/1) and the National Institute for Health Research (NIHR) Biomedical Research Centre at Imperial College Healthcare NHS Trust/Imperial College London. He was a co-investigator on the Beating Egg Allergy (BEAT) Trial (a primary prevention trial for egg allergy) funded by the Ilhan Food Allergy Foundation. MF was a dietitian on the LEAP (Learning Early About Peanut) study, funded by the National Institute of Allergy and Infectious Diseases (NIAID, NIH), Food Allergy & Research Education (FARE), MRC & Asthma UK Centre, NIHR, National Peanut Board (NRP) and FSA. She has received research support from the British Dietetic Association and the Anaphylaxis Campaign. RM has received speaker fees for Nestle, Mead Johnson and Danone; she is on the allergy advisory board for Mead Johnson. MRP was joint principle investigator on the EAT (Enquiring About Tolerance) Study, funded by the UK Food Standards Agency. ATF has received research funding from Danone and acted as a paid consultant for Danone, Mead Johnson, Abbott and Nestle Nutrition. All the authors were on the BSACI/FASG working group for the new BSACI/FASG guidance on preventing food allergy in higher risk infants. The views expressed are those of the author(s) and not necessarily those of the NHS, NIHR, or the Department of Health."
W3109007492,1,,,Sleep and Memory in Children,review,not stated,children aged 6-13 years (sleep and memory),9,72,156,stated,children aged between 6 and 13 years,ok,not stated,"that sleep in comparison to wakefulness benefits the consolidation of memories is well established, especially for adults",0,Short narrative review; no specific results in abstract.,,,,,,,,,"Abstract Purpose of Review This short review article aims at emphasizing interesting and important new insights about investigating sleep and memory in children aged between 6 and 13 years (middle childhood). Recent Findings That sleep in comparison to wakefulness benefits the consolidation of memories is well established—especially for the adult population. However, the underlying theoretical frameworks trying to explain the benefits of sleep for memory still strive for more substantiate findings including biological and physiological correlates. Summary Based on the most recent literature about sleep-related memory consolidation and its physiological markers during middle childhood, this article provides a review and highlights recent updates in this field."
W4200277248,1,,,Many faces of sleep regulation: beyond the time of day and prior wake time,review,not stated,not specified (sleep regulation across species),23,,,unknown,,,not stated,"the two-process model (circadian and homeostatic) has been the dominant framework for sleep research for about 40 years | sleep is incompatible with other behaviors such as eating, foraging, mating, and caring for offspring",0,Not paediatric-specific; conceptual review with no empirical results.,,,,,,,,,"The two-process model of sleep regulation posits two main processes regulating sleep: the circadian process controlled by the circadian clock and the homeostatic process that depends on the history of sleep and wakefulness. The model has provided a dominant conceptual framework for sleep research since its publication ~ 40 years ago. The time of day and prior wake time are the primary factors affecting the circadian and homeostatic processes, respectively. However, it is critical to consider other factors influencing sleep. Since sleep is incompatible with other behaviors, it is affected by the need for essential behaviors such as eating, foraging, mating, caring for offspring, and avoiding predators. Sleep is also affected by sensory inputs, sickness, increased need for memory consolidation after learning, and other factors. Here, we review multiple factors influencing sleep and discuss recent insights into the mechanisms balancing competing needs."
